emp_id,off_cde,rated_year,rating
100000,BOS,2017,8
100000,BOS,2018,7.5
100000,BOS,2019,6
100001,NYC,2017,6
100001,NYC,2018,7
100002,OTT,2017,8.5
100002,OTT,2018,8.5
100003,NYC,2017,7
100003,NYC,2018,8
100003,NYC,2019,6.5
100004,CAL,2017,8
100004,CAL,2018,8
100005,CAL,2017,6.5
100005,CAL,2018,8
100005,CAL,2019,8.5
100005,CAL,2020,9.5
100005,CAL,2021,9
100006,OTT,2017,10
100006,OTT,2018,9.5
100007,PHL,2017,8.5
100007,PHL,2018,8.5
100008,BOS,2017,8
100008,BOS,2018,6.5
100008,BOS,2019,7
100008,BOS,2020,8
100008,BOS,2021,7.5
100008,BOS,2022,6
100009,NYC,2017,6
100009,NYC,2018,7
100010,NYC,2017,8
100010,NYC,2018,6.5
100011,BOS,2017,7.5
100011,BOS,2018,6.5
100011,BOS,2019,6.5
100011,BOS,2020,8
100011,BOS,2021,7.5
100012,MKM,2017,10
100012,MKM,2018,9.5
100013,NYC,2017,6.5
100013,NYC,2018,6
100013,NYC,2019,7.5
100014,PHL,2017,8
100014,PHL,2018,9
100014,PHL,2019,8.5
100014,PHL,2020,10
100015,PHL,2017,8.5
100015,PHL,2018,4.5
100015,PHL,2019,7
100016,VAN,2017,7
100016,VAN,2018,7
100016,VAN,2019,9.5
100016,VAN,2020,8.5
100017,PHL,2017,9
100017,PHL,2018,7.5
100017,PHL,2019,6.5
100017,PHL,2020,5
100018,VAN,2017,9
100018,VAN,2018,8
100018,VAN,2019,7.5
100018,VAN,2020,7
100018,VAN,2021,8.5
100018,VAN,2022,8.5
100019,TOR,2017,8
100019,TOR,2018,8
100019,TOR,2019,8
100019,TOR,2020,8
100019,TOR,2021,8.5
100020,CAL,2017,9
100020,CAL,2018,9
100020,CAL,2019,7
100020,CAL,2020,8.5
100020,CAL,2021,9.5
100020,CAL,2022,8.5
100021,MKM,2017,10
100021,MKM,2018,9
100022,NYC,2017,7
100022,NYC,2018,7.5
100023,BOS,2017,7.5
100023,BOS,2018,7.5
100023,BOS,2019,6.5
100023,BOS,2020,7.5
100023,BOS,2021,6
100023,BOS,2022,7
100024,VAN,2017,9.5
100024,VAN,2018,7
100024,VAN,2019,8
100024,VAN,2020,7.5
100024,VAN,2021,9.5
100024,VAN,2022,10
100025,TOR,2017,9.5
100025,TOR,2018,7
100025,TOR,2019,8.5
100025,TOR,2020,9
100026,TOR,2017,7
100026,TOR,2018,8
100026,TOR,2019,9
100026,TOR,2020,7
100026,TOR,2021,8.5
100026,TOR,2022,10
100027,VAN,2017,7
100027,VAN,2018,8
100027,VAN,2019,7
100027,VAN,2020,8
100027,VAN,2021,9
100027,VAN,2022,9
100028,VAN,2017,8
100028,VAN,2018,8.5
100028,VAN,2019,4
100028,VAN,2020,6
100029,TOR,2017,8.5
100029,TOR,2018,3
100029,TOR,2019,4.5
100030,CAL,2017,7
100030,CAL,2018,8
100030,CAL,2019,8.5
100030,CAL,2020,9.5
100030,CAL,2021,8
100030,CAL,2022,9
100031,NYC,2017,7.5
100031,NYC,2018,7
100032,CAL,2017,8.5
100032,CAL,2018,9.5
100032,CAL,2019,9
100033,VAN,2017,9.5
100033,VAN,2018,8
100033,VAN,2019,8.5
100033,VAN,2020,9.5
100033,VAN,2021,9.5
100033,VAN,2022,9
100034,MKM,2017,9
100034,MKM,2018,8
100034,MKM,2019,9
100034,MKM,2020,8.5
100034,MKM,2021,8
100034,MKM,2022,9
100035,VAN,2017,5
100035,VAN,2018,3.5
100036,BOS,2017,6.5
100036,BOS,2018,7
100036,BOS,2019,8
100036,BOS,2020,6
100037,TOR,2017,9
100037,TOR,2018,9
100037,TOR,2019,8
100037,TOR,2020,8
100037,TOR,2021,8.5
100037,TOR,2022,8.5
100038,NYC,2017,6.5
100038,NYC,2018,6.5
100039,NYC,2017,6
100039,NYC,2018,7
100040,BOS,2017,6.5
100040,BOS,2018,6.5
100040,BOS,2019,7
100040,BOS,2020,8
100040,BOS,2021,7.5
100040,BOS,2022,8
100041,MKM,2017,7
100041,MKM,2018,8.5
100041,MKM,2019,9
100041,MKM,2020,9
100041,MKM,2021,10
100041,MKM,2022,9.5
100042,PHL,2017,8
100042,PHL,2018,8.5
100042,PHL,2019,7.5
100042,PHL,2020,8
100042,PHL,2021,9
100042,PHL,2022,9
100043,MKM,2017,8.5
100043,MKM,2018,7
100043,MKM,2019,9
100043,MKM,2020,8
100043,MKM,2021,9.5
100043,MKM,2022,9
100044,MKM,2017,9
100044,MKM,2018,8.5
100044,MKM,2019,8
100044,MKM,2020,9.5
100044,MKM,2021,8
100044,MKM,2022,10
100045,BOS,2017,6
100045,BOS,2018,7
100045,BOS,2019,6
100045,BOS,2020,7.5
100045,BOS,2021,8
100045,BOS,2022,7
100046,CAL,2017,8
100046,CAL,2018,7.5
100046,CAL,2019,9
100046,CAL,2020,9.5
100046,CAL,2021,9
100047,NYC,2017,7
100047,NYC,2018,7.5
100047,NYC,2019,7
100047,NYC,2020,6.5
100047,NYC,2021,7.5
100048,CAL,2017,8.5
100048,CAL,2018,7.5
100048,CAL,2019,8.5
100048,CAL,2020,6.5
100048,CAL,2021,9.5
100048,CAL,2022,9.5
100049,NYC,2017,7.5
100049,NYC,2018,7
100049,NYC,2019,7.5
100049,NYC,2020,6.5
100050,CAL,2017,9
100050,CAL,2018,5
100050,CAL,2019,5.5
100051,CAL,2017,9
100051,CAL,2018,8.5
100051,CAL,2019,9
100051,CAL,2020,9.5
100051,CAL,2021,8
100051,CAL,2022,9.5
100052,BOS,2017,8
100052,BOS,2018,6
100053,VAN,2017,7
100053,VAN,2018,6.5
100053,VAN,2019,6.5
100053,VAN,2020,7
100053,VAN,2021,9
100053,VAN,2022,10
100054,BOS,2017,8
100054,BOS,2018,6.5
100054,BOS,2019,6.5
100054,BOS,2020,8
100054,BOS,2021,7.5
100054,BOS,2022,6.5
100055,OTT,2017,6.5
100055,OTT,2018,7.5
100055,OTT,2019,7
100055,OTT,2020,9
100055,OTT,2021,9.5
100055,OTT,2022,10
100056,CAL,2017,9
100056,CAL,2018,7.5
100056,CAL,2019,9
100056,CAL,2020,7.5
100056,CAL,2021,8.5
100056,CAL,2022,9.5
100057,VAN,2017,5.5
100057,VAN,2018,5
100058,PHL,2017,7
100058,PHL,2018,8.5
100058,PHL,2019,8.5
100058,PHL,2020,4.5
100058,PHL,2021,5
100059,BOS,2017,8
100059,BOS,2018,6.5
100059,BOS,2019,8
100059,BOS,2020,8
100059,BOS,2021,7.5
100059,BOS,2022,7
100060,NYC,2017,6.5
100060,NYC,2018,7.5
100060,NYC,2019,6
100060,NYC,2020,8
100060,NYC,2021,6.5
100060,NYC,2022,6.5
100061,OTT,2017,8.5
100061,OTT,2018,7
100061,OTT,2019,9.5
100061,OTT,2020,9.5
100061,OTT,2021,8.5
100061,OTT,2022,9.5
100062,MKM,2017,9.5
100062,MKM,2018,7
100062,MKM,2019,8.5
100062,MKM,2020,9.5
100062,MKM,2021,9.5
100062,MKM,2022,8
100063,MKM,2017,7
100063,MKM,2018,9.5
100063,MKM,2019,9
100064,PHL,2017,7
100064,PHL,2018,9.5
100064,PHL,2019,9.5
100064,PHL,2020,9
100064,PHL,2021,8.5
100064,PHL,2022,8.5
100065,BOS,2017,6.5
100065,BOS,2018,7.5
100065,BOS,2019,7.5
100065,BOS,2020,6.5
100065,BOS,2021,7
100065,BOS,2022,7.5
100066,CAL,2017,8.5
100066,CAL,2018,9
100066,CAL,2019,7
100066,CAL,2020,8
100066,CAL,2021,9.5
100067,NYC,2017,7.5
100067,NYC,2018,6.5
100067,NYC,2019,6.5
100068,PHL,2017,9.5
100068,PHL,2018,9.5
100068,PHL,2019,9
100068,PHL,2020,7.5
100068,PHL,2021,9.5
100068,PHL,2022,9.5
100069,NYC,2017,7
100069,NYC,2018,7
100069,NYC,2019,7
100069,NYC,2020,7.5
100069,NYC,2021,7
100069,NYC,2022,8
100070,MKM,2017,8
100070,MKM,2018,9
100070,MKM,2019,5
100070,MKM,2020,4.5
100071,CAL,2017,8.5
100071,CAL,2018,9
100071,CAL,2019,8.5
100072,TOR,2017,8
100072,TOR,2018,9.5
100072,TOR,2019,8.5
100072,TOR,2020,8
100072,TOR,2021,9
100072,TOR,2022,8.5
100073,TOR,2017,8.5
100073,TOR,2018,7
100073,TOR,2019,8.5
100073,TOR,2020,8
100074,VAN,2017,6.5
100074,VAN,2018,8.5
100074,VAN,2019,8.5
100074,VAN,2020,9
100074,VAN,2021,5.5
100074,VAN,2022,5
100075,CAL,2017,8
100075,CAL,2018,9
100075,CAL,2019,7
100075,CAL,2020,8
100075,CAL,2021,8
100076,NYC,2017,8
100076,NYC,2018,6.5
100076,NYC,2019,6.5
100076,NYC,2020,7.5
100076,NYC,2021,8
100076,NYC,2022,7.5
100077,BOS,2017,7.5
100077,BOS,2018,7
100077,BOS,2019,7
100077,BOS,2020,8
100077,BOS,2021,8
100077,BOS,2022,6.5
100078,VAN,2017,9.5
100078,VAN,2018,9.5
100079,OTT,2017,8.5
100079,OTT,2018,8.5
100079,OTT,2019,7.5
100079,OTT,2020,7
100079,OTT,2021,9.5
100079,OTT,2022,9.5
100080,PHL,2017,9
100080,PHL,2018,9.5
100080,PHL,2019,9.5
100081,PHL,2017,8.5
100081,PHL,2018,8
100081,PHL,2019,7.5
100081,PHL,2020,9
100081,PHL,2021,9
100081,PHL,2022,9
100082,PHL,2017,8.5
100082,PHL,2018,5
100082,PHL,2019,4
100083,VAN,2017,7
100083,VAN,2018,7
100083,VAN,2019,7.5
100083,VAN,2020,8
100083,VAN,2021,9
100083,VAN,2022,8.5
100084,PHL,2017,7
100084,PHL,2018,7
100084,PHL,2019,7.5
100084,PHL,2020,6.5
100084,PHL,2021,8.5
100084,PHL,2022,9
100085,MKM,2017,7.5
100085,MKM,2018,7
100085,MKM,2019,8
100085,MKM,2020,10
100085,MKM,2021,9.5
100086,CAL,2017,9
100086,CAL,2018,8.5
100086,CAL,2019,9
100086,CAL,2020,7.5
100086,CAL,2021,10
100086,CAL,2022,10
100087,PHL,2017,8.5
100087,PHL,2018,8.5
100087,PHL,2019,9.5
100087,PHL,2020,7.5
100087,PHL,2021,8
100087,PHL,2022,9
100088,NYC,2017,6
100088,NYC,2018,6.5
100088,NYC,2019,6
100088,NYC,2020,7
100088,NYC,2021,6.5
100088,NYC,2022,7.5
100089,OTT,2017,9
100089,OTT,2018,7.5
100089,OTT,2019,7.5
100089,OTT,2020,9
100089,OTT,2021,8.5
100089,OTT,2022,9
100090,OTT,2017,9.5
100090,OTT,2018,8
100090,OTT,2019,8
100090,OTT,2020,9.5
100090,OTT,2021,9
100090,OTT,2022,8.5
100091,OTT,2017,7.5
100091,OTT,2018,8
100091,OTT,2019,7
100091,OTT,2020,8.5
100091,OTT,2021,9
100091,OTT,2022,9
100092,VAN,2017,8.5
100092,VAN,2018,7
100092,VAN,2019,7.5
100092,VAN,2020,7
100092,VAN,2021,9
100092,VAN,2022,9
100093,MKM,2017,7.5
100093,MKM,2018,7.5
100093,MKM,2019,8.5
100093,MKM,2020,9
100093,MKM,2021,8.5
100093,MKM,2022,9
100094,MKM,2017,8
100094,MKM,2018,8.5
100094,MKM,2019,9.5
100094,MKM,2020,8.5
100095,MKM,2017,9.5
100095,MKM,2018,7
100095,MKM,2019,9.5
100095,MKM,2020,9.5
100095,MKM,2021,9
100095,MKM,2022,8
100096,OTT,2017,8.5
100096,OTT,2018,6.5
100096,OTT,2019,8.5
100096,OTT,2020,9
100096,OTT,2021,8
100096,OTT,2022,9.5
100097,MKM,2017,9.5
100097,MKM,2018,7.5
100097,MKM,2019,7
100097,MKM,2020,9
100097,MKM,2021,8
100097,MKM,2022,9
100098,VAN,2017,7
100098,VAN,2018,9
100098,VAN,2019,7.5
100098,VAN,2020,7
100098,VAN,2021,8
100098,VAN,2022,9.5
100099,MKM,2017,6.5
100099,MKM,2018,9.5
100099,MKM,2019,9
100100,NYC,2017,7.5
100100,NYC,2018,6.5
100100,NYC,2019,6
100100,NYC,2020,7.5
100100,NYC,2021,6
100100,NYC,2022,6.5
100101,TOR,2017,7
100101,TOR,2018,7.5
100101,TOR,2019,7
100101,TOR,2020,9.5
100101,TOR,2021,9.5
100102,VAN,2017,6.5
100102,VAN,2018,7
100102,VAN,2019,8
100102,VAN,2020,8
100102,VAN,2021,9.5
100102,VAN,2022,8.5
100103,TOR,2017,8
100103,TOR,2018,7
100103,TOR,2019,7
100103,TOR,2020,9
100103,TOR,2021,9
100103,TOR,2022,9.5
100104,BOS,2017,7
100104,BOS,2018,7
100104,BOS,2019,7
100104,BOS,2020,7.5
100104,BOS,2021,6
100104,BOS,2022,6.5
100105,VAN,2017,7
100105,VAN,2018,8.5
100105,VAN,2019,9
100105,VAN,2020,6.5
100105,VAN,2021,6.5
100106,TOR,2017,8.5
100106,TOR,2018,7
100106,TOR,2019,9
100106,TOR,2020,8.5
100106,TOR,2021,8
100106,TOR,2022,9.5
100107,PHL,2017,8
100107,PHL,2018,8
100107,PHL,2019,7.5
100107,PHL,2020,7
100107,PHL,2021,8
100107,PHL,2022,10
100108,CAL,2017,7
100108,CAL,2018,9.5
100108,CAL,2019,9
100108,CAL,2020,8.5
100108,CAL,2021,8.5
100108,CAL,2022,9
100109,MKM,2017,8.5
100109,MKM,2018,6.5
100109,MKM,2019,8.5
100109,MKM,2020,7
100109,MKM,2021,8
100109,MKM,2022,9.5
100110,MKM,2017,7.5
100110,MKM,2018,8.5
100110,MKM,2019,5.5
100110,MKM,2020,4.5
100111,NYC,2017,7.5
100111,NYC,2018,7.5
100111,NYC,2019,7.5
100111,NYC,2020,6.5
100111,NYC,2021,7.5
100111,NYC,2022,8
100112,CAL,2017,8.5
100112,CAL,2018,8
100113,BOS,2017,6
100113,BOS,2018,7
100113,BOS,2019,7.5
100113,BOS,2020,7.5
100113,BOS,2021,7
100113,BOS,2022,6.5
100114,PHL,2017,7.5
100114,PHL,2018,8
100114,PHL,2019,9
100114,PHL,2020,9
100114,PHL,2021,9.5
100114,PHL,2022,8.5
100115,VAN,2017,7.5
100115,VAN,2018,8
100115,VAN,2019,9
100115,VAN,2020,8
100115,VAN,2021,9
100115,VAN,2022,8.5
100116,OTT,2017,7
100116,OTT,2018,7.5
100116,OTT,2019,7
100116,OTT,2020,8
100116,OTT,2021,9.5
100116,OTT,2022,9.5
100117,NYC,2017,7.5
100117,NYC,2018,7.5
100117,NYC,2019,6.5
100117,NYC,2020,7
100117,NYC,2021,6.5
100117,NYC,2022,8
100118,OTT,2017,7.5
100118,OTT,2018,9.5
100118,OTT,2019,7
100118,OTT,2020,8
100118,OTT,2021,9
100118,OTT,2022,9
100119,BOS,2017,7
100119,BOS,2018,7
100119,BOS,2019,7.5
100119,BOS,2020,7.5
100119,BOS,2021,7.5
100119,BOS,2022,6.5
100120,CAL,2017,7
100120,CAL,2018,5
100120,CAL,2019,6.5
100121,NYC,2017,8
100121,NYC,2018,7
100121,NYC,2019,6
100121,NYC,2020,7
100121,NYC,2021,6.5
100121,NYC,2022,7
100122,TOR,2017,8.5
100122,TOR,2018,8.5
100122,TOR,2019,8
100122,TOR,2020,8
100122,TOR,2021,9.5
100123,PHL,2017,9
100123,PHL,2018,7
100123,PHL,2019,8.5
100123,PHL,2020,8.5
100123,PHL,2021,9
100123,PHL,2022,9
100124,MKM,2017,3.5
100124,MKM,2018,7
100125,VAN,2017,8.5
100125,VAN,2018,7.5
100125,VAN,2019,8.5
